<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20160421,000000,66.982,64.65,66.84,5423084000
USDRUB_TOM,D,20160422,000000,66.82,65.527,66.455,5046867000
USDRUB_TOM,D,20160425,000000,66.855,65.876,66.567,3917189000
USDRUB_TOM,D,20160426,000000,66.774,65.15,65.2,3375168000
USDRUB_TOM,D,20160427,000000,65.997,64.97,65.12,4502216000
USDRUB_TOM,D,20160428,000000,65.4,64.19,64.719,4306522000
USDRUB_TOM,D,20160429,000000,64.889,63.983,64.63,3849081000
USDRUB_TOM,D,20160504,000000,66.799,65.725,66.529,4506185000
USDRUB_TOM,D,20160505,000000,66.242,65.19,65.89,3874802000
USDRUB_TOM,D,20160506,000000,66.617,65.551,65.945,3569340000
USDRUB_TOM,D,20160510,000000,66.672,66.05,66.31,2995041000
USDRUB_TOM,D,20160511,000000,66.379,64.831,64.978,3711887000
USDRUB_TOM,D,20160512,000000,65.54,64.561,64.895,3897592000
USDRUB_TOM,D,20160513,000000,65.579,64.731,65.48,3514640000
USDRUB_TOM,D,20160516,000000,65.168,64.605,64.9,3112073000
USDRUB_TOM,D,20160517,000000,65.074,64.366,64.72,3717071000
USDRUB_TOM,D,20160518,000000,66.093,64.837,65.999,4285063000
USDRUB_TOM,D,20160519,000000,67.33,65.984,66.78,5391936000
USDRUB_TOM,D,20160520,000000,66.98,66.258,66.798,3907681000
USDRUB_TOM,D,20160523,000000,67.237,66.744,66.808,2827192000
USDRUB_TOM,D,20160524,000000,67.15,66.1,66.184,2870941000
USDRUB_TOM,D,20160525,000000,66.025,65.31,65.508,4348851000
USDRUB_TOM,D,20160526,000000,65.888,64.883,65.801,3676097000
USDRUB_TOM,D,20160527,000000,66.42,65.753,66.144,2783881000
USDRUB_TOM,D,20160530,000000,66.27,65.5875,65.75,1736929000
USDRUB_TOM,D,20160531,000000,67,65.72,66.7,2940300000
USDRUB_TOM,D,20160601,000000,67.3275,66.5125,67.14,4385825000
USDRUB_TOM,D,20160602,000000,67.71,66.615,66.96,4210571000
USDRUB_TOM,D,20160603,000000,67.17,65.6,65.62,4333646000
USDRUB_TOM,D,20160606,000000,65.99,65.12,65.245,2873165000
USDRUB_TOM,D,20160607,000000,65.5725,64.5075,64.6225,3530767000
USDRUB_TOM,D,20160608,000000,64.8175,63.4725,63.61,4300959000
USDRUB_TOM,D,20160609,000000,64.5,63.4,64.3275,4183874000
USDRUB_TOM,D,20160610,000000,65.38,64.1075,65.28,3818092000
USDRUB_TOM,D,20160614,000000,66.315,65.7075,66.14,3922155000
USDRUB_TOM,D,20160615,000000,66.065,65.0625,65.5125,3555541000
USDRUB_TOM,D,20160616,000000,66.09,65.36,65.78,4131983000
USDRUB_TOM,D,20160617,000000,65.5525,64.705,64.85,3124059000
USDRUB_TOM,D,20160620,000000,64.5025,63.7575,64.2975,2868198000
USDRUB_TOM,D,20160621,000000,64.48,63.75,63.755,3339917000
USDRUB_TOM,D,20160622,000000,65.155,63.49,64.89,3591974000
USDRUB_TOM,D,20160623,000000,64.7675,63.7675,63.85,3128218000
USDRUB_TOM,D,20160624,000000,67.5775,64.685,65.2625,4950194000
USDRUB_TOM,D,20160627,000000,65.65,64.8175,65.4875,3709562000
USDRUB_TOM,D,20160628,000000,65.1375,63.9,64.1,3325917000
USDRUB_TOM,D,20160629,000000,64.4875,63.6075,63.85,4072530000
USDRUB_TOM,D,20160630,000000,64.425,63.75,63.99,3201935000
USDRUB_TOM,D,20160701,000000,64.265,63.8,63.8,2864718000
USDRUB_TOM,D,20160704,000000,64.0175,63.52,63.935,1719371000
USDRUB_TOM,D,20160705,000000,64.6875,64.1125,64.3175,3569521000
USDRUB_TOM,D,20160706,000000,64.805,64.1825,64.2075,3448337000
USDRUB_TOM,D,20160707,000000,64.755,63.7075,64.565,3606550000
USDRUB_TOM,D,20160708,000000,64.61,63.715,63.98,3489599000
USDRUB_TOM,D,20160711,000000,64.31,63.96,64.2,2427673000
USDRUB_TOM,D,20160712,000000,64.0575,63.7175,63.89,2822753000
USDRUB_TOM,D,20160713,000000,64.1475,63.65,63.85,3616217000
USDRUB_TOM,D,20160714,000000,63.8225,62.73,62.85,4189835000
USDRUB_TOM,D,20160715,000000,63.51,62.955,63.51,4546533000
USDRUB_TOM,D,20160718,000000,63.45,62.7875,62.8425,2579583000
USDRUB_TOM,D,20160719,000000,63.75,62.8,63.5475,3171752000
USDRUB_TOM,D,20160720,000000,63.92,63.15,63.74,3327354000
USDRUB_TOM,D,20160721,000000,64.43,63.5725,64.37,3616166000
USDRUB_TOM,D,20160722,000000,64.98,64.3025,64.88,3980443000
USDRUB_TOM,D,20160725,000000,65.5475,64.7725,65.415,3212704000
USDRUB_TOM,D,20160726,000000,66.5525,65.375,65.9475,4858221000
USDRUB_TOM,D,20160727,000000,66.465,65.7075,65.9275,3565120000
USDRUB_TOM,D,20160728,000000,66.785,65.9025,66.615,4295292000
USDRUB_TOM,D,20160729,000000,67.3,65.9,66.035,4553595000
USDRUB_TOM,D,20160801,000000,66.97,65.72,66.895,3387254000
USDRUB_TOM,D,20160802,000000,67.0275,66.01,66.6475,3788750000
USDRUB_TOM,D,20160803,000000,67.03,66.15,66.27,3578181000
USDRUB_TOM,D,20160804,000000,66.57,65.6,65.7875,2962035000
USDRUB_TOM,D,20160805,000000,65.88,64.9975,65.5475,4453618000
USDRUB_TOM,D,20160808,000000,65.515,64.43,64.615,3204429000
USDRUB_TOM,D,20160809,000000,65.1275,64.51,64.765,3197787000
