Figure 1: StreetLight AADT 2020 for test data compared to permanent counter 2020 AADT (U.S.). No outliers were removed.
Correlation between StreetLight AADT 2020 Estimates and Permanent Counter AADT 2020 Values
x: Actual AADT 2020
y: StreetLight Estimated AADT 2020
R^2 = 0.9802
actual	estimated
134.498	127.501
126.825	128.202
154.369	129.604
57.9654	55.6449
69.7699	64.7583
88.2637	95.9545
92.3954	99.4597
35.5367	36.3663
52.6533	52.4902
49.8989	53.5417
23.1419	19.5414
61.31	57.0469
70.1634	77.0264
60.523	57.0469
6.22198	6.22176
19.4037	15.3352
29.0442	29.356
29.0442	27.2528
10.9438	9.72689
36.3236	34.9643
18.8135	18.8404
26.4865	25.8508
28.0604	25.5002
27.667	27.2528
28.4539	27.6033
15.0754	14.6341
24.3223	22.6961
80.0005	87.542
43.2096	42.6756
92.1986	97.3565
22.5516	16.7373
42.2259	44.4283
28.2572	24.7992
9.56661	11.129
18.0266	16.3868
45.5705	44.4283
22.9451	21.6445
15.2722	15.3352
47.9315	50.0366
13.6982	12.1805
8.77965	9.02584
31.7986	38.4694
27.8637	30.4075
40.8487	38.82
37.8976	43.3767
14.0917	12.5311
65.8351	63.0057
94.5595	105.769
9.36988	10.7785
19.207	17.7888
38.4878	34.6137
11.534	11.129
94.7562	99.1091
101.052	119.79
115.021	113.48
57.7686	60.5521
12.1243	9.37643
13.3047	6.92275
47.1445	44.4283
15.8624	11.8301
4.64804	5.52071
38.4878	37.0674
9.17313	9.37643
15.2722	15.3352
21.7647	24.7992
16.4526	16.7373
5.43502	7.27327
22.5516	22.6961
9.17313	9.37643
5.8285	6.92275
10.5503	10.4279
17.2396	20.2425
17.8298	19.1909
11.534	12.8816
9.56661	10.0774
50.4891	48.985
37.7008	34.9643
17.0428	18.1394
15.2722	15.3352
29.2409	32.8611
32.7823	36.0158
46.9477	44.4283
7.99267	8.67538
78.6233	70.3666
17.8298	19.892
17.8298	21.6445
106.758	99.4597
64.4579	58.0985
94.953	99.4597
73.3113	73.5212
11.9275	14.2837
13.5015	14.6341
8.38615	7.6238
14.0917	16.3868
